,datetime,order_type,close1_ema33,rsi14,sto533,pos_bb20,sd_pos,profit_in_points,target
1,2016.01.04 10:30:00,1,-0.000286094,50.4606,89.9421,0.750038,-0.627089,-143,0
2,2016.01.04 21:00:00,0,-0.00381164,36.1899,13.2363,-2.3106,0.0816075,242,1
3,2016.01.05 13:30:00,1,-0.000372848,49.3773,78.2101,0.797477,-0.829733,-242,0
4,2016.01.05 14:30:00,0,-0.00258411,33.905,28.9969,-2.9638,-0.55752,547,1
5,2016.01.06 05:30:00,1,-0.00098759,46.9436,70.5545,1.12708,-1.48521,-73,0
6,2016.01.06 08:00:00,0,-0.00140381,42.1115,24.2105,0.214912,-0.87503,-234,0
7,2016.01.06 08:30:00,1,0.000890528,58.2806,49.4689,2.32423,-0.711152,-185,0
8,2016.01.06 12:00:03,0,-0.000786063,46.3249,10.4084,-0.233123,-1.23013,-53,0
9,2016.01.06 19:30:00,1,0.000755788,56.8799,89.1403,1.25473,0.0580709,-149,0
10,2016.01.06 21:30:00,0,-0.000582203,46.8613,57.2062,-0.0820578,-0.909855,-167,0
11,2016.01.06 22:00:00,1,0.000797927,56.5526,66.1194,1.71403,-0.717478,195,1
12,2016.01.07 15:30:00,0,-0.00149178,38.8089,7.01262,-1.31095,1.26631,-899,0
13,2016.01.07 16:30:00,1,0.00694763,71.4563,65.792,2.65451,2.02454,186,1
14,2016.01.08 09:00:00,0,-2.61E-05,47.1548,16.7616,-0.768209,-0.165268,-242,0
15,2016.01.08 23:00:00,1,0.00328592,61.0825,85.4441,2.77768,-0.0528819,37,1
16,2016.01.11 11:30:01,0,0.000120934,48.6358,13.3052,-0.784929,-1.88586,-197,0
17,2016.01.11 14:00:00,1,0.00183327,60.6505,82.1429,0.474577,-1.61062,-214,0
18,2016.01.11 14:30:00,0,-0.00027928,46.9206,58.8571,-1.42621,-1.33667,360,1
19,2016.01.12 10:30:00,1,0.000163772,52.1251,90.9627,0.798849,-1.96296,-177,0
20,2016.01.12 17:00:00,0,-0.00194019,40.3287,16.5187,-1.30367,0.331537,20,1
21,2016.01.13 03:00:00,1,-5.82E-05,50.8083,71.3875,0.796656,-1.80492,-118,0
22,2016.01.13 07:00:02,0,-0.0010202,44.5416,10.5932,-0.359374,-0.858591,139,1
23,2016.01.13 21:30:00,1,-4.43E-06,51.1343,79.7393,0.595547,-0.449948,382,1
24,2016.01.14 14:00:00,0,-0.000468733,44.8271,9.91105,-2.6232,-1.20082,-460,0
25,2016.01.14 16:00:00,1,0.00397631,67.3847,73.1113,2.72157,0.185309,-324,0
26,2016.01.14 22:30:00,0,-0.00100281,45.3607,39.1108,-0.70559,1.01471,85,1
27,2016.01.15 09:00:00,1,0.000168652,51.5537,78.4053,1.71295,-2.0032,480,1
28,2016.01.16 03:30:00,0,-0.000237715,47.6873,16.4422,-0.677726,0.369417,219,1
29,2016.01.18 22:00:00,1,-6.23E-05,50.5088,64.9798,1.10907,-1.09944,-73,0
30,2016.01.18 22:30:00,0,-0.000679799,45.5469,63.0952,-0.254032,-0.994591,-56,0
31,2016.01.19 02:00:01,1,0.000170317,52.2441,92.8161,0.770731,-0.138489,-62,0
32,2016.01.19 06:00:00,0,-0.000381677,47.0162,7.5,-0.22987,0.227861,-69,0
33,2016.01.19 10:00:00,1,0.000424732,54.4785,70.9677,1.02866,-2.13599,-95,0
34,2016.01.19 11:30:04,0,-0.000468662,46.0263,37.8917,-0.886493,-1.43482,-33,0
35,2016.01.19 22:00:00,1,0.00113303,58.7218,61.2832,2.28007,-0.541669,419,1
36,2016.01.20 17:30:00,0,9.57E-05,48.9931,16.5165,-0.695815,0.16322,355,1
37,2016.01.21 13:00:00,1,0.000449179,54.6166,85.3211,1.82892,-1.71359,-1066,0
38,2016.01.21 21:00:00,0,-0.00988278,20.4236,13.8875,-4.1532,3.73031,-921,0
39,2016.01.22 02:30:00,1,0.00149331,55.947,80.022,0.640241,0.850419,-335,0
40,2016.01.22 07:30:00,0,-0.00192728,42.257,4.31849,-0.340361,-2.34513,392,1
41,2016.01.25 10:00:00,1,0.000175177,53.835,64.099,1.79331,-1.83531,271,1
42,2016.01.26 17:00:00,0,-0.000839406,41.7431,11.1717,-1.76088,0.568923,-132,0
43,2016.01.26 23:30:00,1,0.00103749,56.7186,89.6641,0.73035,1.0236,50,1
44,2016.01.27 14:00:00,0,-3.57E-05,48.4269,25.2577,-1.37872,-1.56382,-208,0
45,2016.01.27 14:30:01,1,0.00191465,63.2751,51.5748,2.59563,-1.10431,-92,0
46,2016.01.28 00:00:00,0,-0.000281557,47.5499,11.1111,-0.708932,0.825357,-231,0
47,2016.01.28 02:30:00,1,0.0018809,58.154,62.5998,1.21875,0.383226,-64,0
48,2016.01.28 12:00:01,0,-0.000282091,46.5228,50.7614,-1.87848,-2.68406,-346,0
49,2016.01.28 16:30:00,1,0.00314917,67.9649,83.7887,2.63351,0.308216,166,1
50,2016.01.29 07:00:00,0,0.000532926,51.2486,25.6966,-0.781546,-2.43453,166,1
51,2016.01.29 20:00:00,1,0.000154008,52.2449,67.506,0.488683,0.0766878,-551,0
52,2016.01.29 21:00:00,0,-0.00500683,25.1753,28.7244,-2.8771,0.806012,172,1
53,2016.02.01 09:30:00,1,-0.000441456,50.4008,83.7485,2.03598,-1.34039,513,1
54,2016.02.02 23:30:00,0,-0.00112133,42.4435,25.0597,-1.64177,1.85923,-181,0
55,2016.02.03 03:00:00,1,0.000546361,52.5703,79.6221,-0.00852631,0.593273,1,1
56,2016.02.03 11:30:00,0,-0.000133728,47.8191,14.5683,-0.914914,-2.25393,-144,0
